ID_AR,DOI,author,year,reader,database,type of study,pdf,country,locality,latitude,longitude,hemisphere,vegetation_type,pollinator,spp_nb,family_nb,indiv_nb,study_length,censusfreq,herbs,shrub,trees,grass,sampling_method,climate_variable,direct,individuals,floristic_survey,litter_traps,other_methods,flowering,flowers number,fruting,leaf_flush,leaf_fall,presence_absence,fournier,counts,biomass,classes,mismatch effect,pollinator emergence
11,10.1007/s00484-014-0846-0,"Park IW,Schwartz MD",2015,Ian,Scopus_WOS,methodology,ok,United States,southeastern of USA,-,-,Northen,not apply,Not apply,>1700sp,not reported,not reported,1951 to 2009,not informed,-,-,-,-,digital herbarium records,temperature,-,-,-,-,digital herbarium records,-,-,-,,,-,-,-,-,-,not observed,-
12,10.1007/s10457-011-9476-2,"Peters VE,Carroll CR",2012,Ian,Scopus,case study,ok,Costa Rica,"Monteverde Cloud Forest Preserve in the Puntarenas
province of Northwest Costa Rica",10°161N ,84°48'W,Northen,Agroforest,Bees,19-23sp per hectare,Not reported,not reported,"4 months, February to May (2008 and 2009)",not informed,-,x,-,-,observation,preciptation,x,x,-,-,-,x,x,x,,,-,-,x,x,-,not observed,-
13,10.1007/s11284-013-1108-z,Kudo G,2014,Ian,WOS,case study,ok,Japan,"Taisetsu Mountains (Daisetsuzan National Park), in Hokkaido,northern Japan.","43°'41'42""N","142°54'46""E",Northen,fellfield and snowbed,Bees (Bumblebees),41,Not reported,not reported,2 years (2012 to 2013),"1 June to
15 September (2.3-day intervals on average). In 2012,
52 records were accumulated from May 30 to September
7 (1.9-day intervals on average). ",--,-,-,-,observation,seasons temperature,x,-,x,-,-,x,-,-,,,-,-,-,-,"classified into four stages; ‘initial stage’ in which fewer than 50 % of the plants have started opening
flowers (stage A), ‘peak stage’ in which more than 50 %
of the plants (50–100 %) have open flowers (stage B),
‘later stage’ in which 10–50 % of the plants retain
flowers after peak flowering (stage C), and ‘terminal
stage’ in which most flowers have finished (>90 %) and
only a small portion of plants retain open flowers (stage
D).","Flowering phenology and seasonal pattern of bee
abundance varied between years, and a phenological
synchrony between them was disrupted in the warmspring
year.",-
14,10.1007/s11629-010-1107-2,"Zhang L,Turkington R,Tang Y",2010,Ian,WOS,case study,ok,Tibet,"Mt. Qomolangma (Mt.Everest) in Tibet, western China","28°15'2"" N","86°48'51"" E",Northen,Alpine vegetation,not apply,24,14,not reported,"April to August, 2005.",not informed,-,-,-,-,observation,seasons temperature,x,-,x,-,-,x,-,x,,,-,x,-,-,"Primack (1980) included only those days on which plants were ‘flowering strongly’, which was interpreted as having > 50% of their flowers were open. Primack’s protocol was followed for dates of peak flowering and fruiting; peak fruiting was the date on which 50% of flowers developed to fruits",Not apply,not apply
15,10.1007/s11629-010-1115-2,Green K,2010,Ian,WOS,case study,ok,Australia,"Snowy Mountains,continental Australia.",36°27' S,148°16' E),Southern,Alpine vegetation,not apply,2,2,not reported,not uniform spacing time moments of collect data during the thirty years,not informed,x,-,-,-,historical anotations analysis,seasons temperature,-,-,-,-,HIstorical anotations analysis,x,-,-,,,x,-,-,-,-,not observed,not apply
16,10.1007/s11829-017-9572-y,"Vilela AA,Del Claro VT,Torezan-Silingardi HM,Del-Claro K",2018,Hannelise,WOS,Case study,OK,Brazil,"Reserva
Ecológica do Clube Caça e Pesca Itororó de Uberlândia - Minas gerais",18°59′S,48°18′W,Southern,Tropical savanna,bees,4,Malpighiaceae,30 de cada espécie,"2005-2014 - climate factor and 2008-2014 fruit set and herbivory, fruit and flower production ",every 2 weeks during the reproductive season,,x,-,-,not informed,monthly means of temperature and monthly precipitations) obtained from climate station ,x,x,-,-,-,x,x,x,not monitored,not monitored,-,-,"number of buds, flowers, and fruits;",-,"intensity and herbivory of leaves (leaf area loss of apical, middle and basal steam)",discutem esses efeitos: decreased fruits set and competition for pollinators,
17,10.1007/s12080-014-0218-8,"Fagan WF,Bewick S,Cantrell S,Cosner C,Varassin IG,Inouye DW",2014,Hannelise,Scopus_WOS,Methodology,OK,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,not included,-,-,-,-,Model,x,x,-,not monitored,not monitored,-,-,-,-,"pollinator population size, rate at which pollinators arrive, constant death rate, pollinators with and without pollen, abundance of unpollinated and pollinated flowering plants, visitation rate of pollinators to flowering plants, rate at which pollen is removed from pollinators, total number of flowers in the system,rate at which flowers open, rate de pollination of flowers, number of flowers per plant, constant death rates for flowers and plants, pollinated flowers that ceased bloom, but not yet seeded and plants that fineshed the seeding process",demographic impacts (population growth and fruits set); polinizadores e plantas de ciclo curto ou espécies generalistas são mais impactadas; bet-hedging,
18,10.1007/s12229-010-9044-x,"Liu H,Feng CL,Luo YB,Chen BS,Wang ZS,Gu HY",2010,Hannelise,Scopus,Review,OK,China,"Yachang Orchid Nature Reserve in Guangxi (hereafter refer to as Yachang Reserve),",24°44′16″ to 24° 53′ 58″ N,106° 11′ 31″ to 106° 27′ 04″W,Northern,Subtropical forest,insects,55,Orchidaceae,-,-,-,x,-,-,-,-,temperature,-,-,-,-,-,-,-,-,not monitored,not monitored,-,-,-,-,-,Traz alguns efeitos prováveis: Flowering and flight times peak changed; extinction risk for vulnerable species and animal pollination dependents (specialists),
19,10.1007/s40333-019-0026-5,"Li Z,Zhang X,Zheng Y,Qiu A,Zhang L",2019,Hannelise,WOS,Case study,OK,China,"Aral City, Xinjiang",40°29′N,80°50′E,Northern,Forest,wind,2,Salicaeae,30 female and 30 male ,2001-2003 and 2013 -2015,not informed,-,-,x,-,plot,temperature,x,x,-,-,-,x,-,-,not monitored,not monitored,-,-,x,-,"flower bud sprouting period, demarking period, flowering period, inflorescence drooping period and wilting period. the flowering phenological period per plant, the flowering phenological period per population, flowering phenological
period of population for male and famale plants",autores discutem: flores femininas possuem período de floração mais longo do que masculinas e poderia amenizar o risco da falha na polinização devido às rapidas mudanças do clima e ausência de vento; via (reflete assincronia em indivíduos do mesmo sexo). Embora o assincronismo leva a uma polinização escassa/esparsa em um ponto. Viabilidade do pólen e qunatidade podem influenciar  o sucesso reprodutivo,
20,10.1016/j.agee.2017.01.026,"Elias MA,Borges FJ,Bergamini LL,Franceschinelli EV,Sujii ER",2017,Hannelise,Scopus,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,not monitored,not monitored,,,,,,,
21,10.1016/j.cub.2012.01.009,Willmer P,2012,Hannelise,WOS,Review,OK,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,not monitored,not monitored,-,-,-,-,-,"Traz alguns efeitos como: deleteterious effect, species distribuition bet-hedge effects",
22,10.1016/j.cub.2014.10.033,"Robbirt KM,Roberts DL,Hutchings MJ,Davy AJ",2014,Hannelise,Scopus_WOS,Case study,OK,United Kingdom,"Castle Hill National Nature Reserve, East Sussex",Not informed,Not informed,Northern,Mesotrophic grassland,Andrena nigroaenea,1,Orchidaceae,102,(1975–2009) - bee fly and (1848 - 2006) - flowering,,x,,,,plot,temperature,x,x,x,-,-,x,-,-,not monitored,not monitored,-,-,"flowering day, flight date (female and male bees),",-,-,autores discutem: reduced orchid fitness; risk of specialists mutualisms,
23,10.1016/j.cub.2019.11.071,"Rafferty NE,Diez JM,Bertelsen CD",2020,Hannelise,Scopus_WOS,Case study,OK,United States,Santa Catalina Mountains of Arizona,Not informed,not informed,Northern,"Desert scrub, riparian scrub, scrub grassland, oak woodland, oak-pine woodland, pine forest",-,590,-,,33 years,2 surveys per month (first 9 years); near weekly (after 9 years),x,x,x,x,trails ,temperature and precipitation,x,-,-,-,-,x,-,-,not monitored,not monitored,-,-,x,-,flowering day; communities em different elevations," Discutem: Flowering shifted later between the first and last decades in some communities and earlier in others could mean that some pollinators could extend their foraging seasons, which could have important implications for gene flow and reproductive output of plants. For example, if flowering 
phenology in a montane plant community shifts unevenly across elevations, this will alter the timing of resource availability for species in other trophic levels, such as pollinators, and will likely have downstream effects on seed and fruit production, affecting frugivores, plant recruitment, and competitive interactions.",
24,10.1016/J.ECOCHG.2021.100043,"Faust MN,Iler AM",2022,Hannelise,Scopus,Case study,OK,United States,"Rocky Mountain Biological Laboratory, Gothic",38°57′ N,106°59′ W,Northern,Forbs and Grasses,"Bees, flies, lepidoptera, coleoptera, wasps and others",2,Linaceae and  Rosaceae, ≥5 de Linum lewisii e ≥20 Potentilla pulcherrima,1 year,-,x,-,-,-,plot,soil moisture/snowmelt,x,x,-,-,experiment,x,x,x,not monitored,not monitored,-,-,"flower, fruits, viable seeds numbers; pollen on stigmas number of pollinator and pollinator visits; legitimate visits; ",-,-,"fatores abióticos afetam a co-floração, que pode aumentar a deposição de pólen hetero-específico refletindo a competição por polinizadores",
25,10.1017/S0021859612000731,"Campbell LG,Luo J,Mercer KL",2013,Hannelise,Scopus_WOS,Case study,OK,United States,"Columbus, Ohio",40°0′N,83°1′W,Northern,Agriculture,Bees,2,Cucurbitaceae,-,2 years,every day,x,-,-,-,plot,soil moisture/,x,x,-,-,experiment,x,x,x,not monitored,not monitored,-,-,flower,fruits,," Open pollinated variety presented higher phenotypic plasticity that may be an advantage to maintain synchrony. However, hybrid variety presented higher investment in male flowers and higher fruit set.",
26,10.1038/s41598-019-51916-0,"Kehrberger S,Holzschuh A",2019,Hannelise,Scopus,Case study,OK,Germany,Würzburg,49°47′ 28″N,9°57′12″E,Northern,Calcareous grasslands,Bees,1,Ranunculaceae,,3 months,Several day per month,x,-,-,-,trails,temperature,x,x,-,-,experiment,x,x,x,,,"day-specific number of other flowering plant species and day-specific flower visitation rate,  bud opening,",-,"mean flower visitation rate, total number of other flowering plant species, number of bee visits per flower ",-,"floral longevity, pollinator exclusion (wind and self-pollination), open
(wind, self- and insect pollination), hand (wind, self-, insect and hand pollination) 
", competition of coflowering species for pollinators ,-
27,10.1051/agro:2008066,"Feehan J,Harley M,Van Minnen J",2009,Hannelise,Scopus,Review,OK,NA,Europe,-,-,Northern,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Advancements in spring activity may result in asynchrony between food sources and breeding, causing starvation of young that emerge too early, and the disruption of predator-prey relationships. This so-called trophic mismatch has been demonstrated for various animal groups, including birds, and in some cases is causing crashes or explosions in populations. Additionally, extreme events such as floods, drought and fire can disrupt ecosystems, preventing growth of key plant species and limiting nesting, breeding and feeding opportunities for animals. Played out on a larger scale, these trophic mismatches benefit generalists at the expense of specialists, putting additional pressures on the capacity of ecosystems to provide certain services and on species of conservation importance",
28,10.1073/pnas.0900758106,"Steltzer H,Landry C,Painter TH,Anderson J,Ayres E",2009,Hannelise,Scopus,Case study,OK,United States,"Red Mountain Pass in the San Juan Mountains, Colorado",37° 54 N,107° 43 W,Northern,Tundra,-,12,-,-,June 1 to August 11,Every 2-3 days,,,,,plot,Dust addition and removal to test earlier snowmelt and delayed snowmelt,x,,,,experiment field,x,,,,,,,first flower to fully open,,,"a presença e ausência de poeira sobre o gelo apresentou adiantamento e atraso na floração das espécies em diferentes alturas. Os autores discutem sobre a floração concorrente pode levar a competição por recursos e polinizadores, bem como alterar o fluxo gênico via polinização",
29,10.1073/pnas.1714511115,"Kharouba HM,Ehrlén J,Gelman A,Bolmgren K,Allen JM,Travers SE,Wolkovich EM",2018,Hannelise,WOS,Review,OK,United States,-,-,-,-,-,-,88,-,-, 1951 - 2013,970 studies,,,,,-,Temperature,,,,,meta analysis,-,-,-,,,-,-,"Phenological shifts among
pairwise species interactions ",-,-,"No há direção destas mudanças de sincronias entre espécies interagentes, o periodo sazonal de algumas espécies estão mais próximas, enquanto de outras estão mais distantes. Porém qualquer mudança pode representar um rompimento das interações e efeitos em cascata. A relação da mundança de sincronia entre espécies interagentes e a temperatura foi baixa.",
30,10.1080/15230430.2018.1548866,"Hall ES,Piedrahita LR,Kendziorski G,Waddle E,Doak DF,DeMarche ML",2018,Hannelise,Scopus_WOS,Case study,OK,United States,"Niwot Ridge, Colorado",40'055'' N,−05'59'' W,Northern,vegetated fellfields to dry meadows,bee and flies,1,Caryophyllaceae,114-36,2016-2017,2-5 days during flowering season,,,,,trails/diferents sites,Covering snow and soil volumetric water content,x,x,,,,x,-,x,,,-,-,"flowering time, soil moisture, degree of synchrony among individuals, pollinator visitation
rates 
 ",-,-,"Sincronia em indivíduos da mesma espécie: Fator limitante para atração de polinizadores: display floral (abundância de flores) que foi maior nas plantas que floresceram mais cedo. Plantas com maiores disponilidade de água devido ao degelo. Essas plantas também produzem maiores quantidades de frutos. Os polinizadores estariam respondendo a disponibilidade de recursos, independente da sincronia. Os polinizadores dessa espécie são generalistas e podem apresentar adaptações. Esses locais também costumam apresentar escalonamento fenológico. ",
31,10.1088/1748-9326/11/11/115006,"Gillespie MA,Baggesen N,Cooper EJ",2016,Carina,WOS,Case study ,OK,Svalbard,Spitsbergen,78°10′N,16°06′E,Northern ,heath; mesic meadow,"flies, wasps",6,6,-,one year (2015),"every 3–4 days from the date off
irst flower to the date ofthe last flower",X,-,-,-,plot,soil temperature and moisture,x,x,-,-,-,x,flowers in bloom were counted,-,-,-,-,-,number of flowers,-,"First flower and peak flowering, and by the length of the flowering period and the length of the prefloration period","although evidence ofdisruption to phenological overlaps was not found, the results do highlight the vulnerability ofthe plant–pollinator network in this system with differing phenological shifts between insects and plants and reduced visitation rates to flowers in plots with deep snow.",
32,10.1093/aobpla/plv026,"Welt RS,Litt A,Franks SJ",2015,Carina,Scopus,,OK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10.1098/rspb.2019.0573,"Kudo G,Cooper EJ",2019,Carina,Scopus_WOS,Case study ,OK,Japan,"Nopporo, Hokkaido",438250 N,1438320 E,Southern,deciduous forest,bees (Bombus hypocrita sapporoensis),1,1,-,18 years (1999 - 2017),not informed,x,-,-,-,20 x 20 m area,"air temperature, soil temperature, snowmelt",x,x,-,-,-,x,flowers in bloom were counted,x,-,-,-,-,number of flowers and fruits,-,flowering onset,"These results indicate that phenological mis- match tends to occur when snow melts early but subsequent soil warming progresses slowly. Thus, modification of the snowmelt regime could be a major driver disturbing spring phenology in northern ecosystems.",
34,10.1098/rstb.2010.0115,Thomson JD,2010,Carina,Scopus_WOS,Case study ,OK,United States,"Irwin, Colorado",38852.5660 N ,1078060500 W,Northern,subalpine meadow,bees (Bombus bifarius and Bombus occidentalis (Hymenoptera: Apidae); broad-tailed hummingbird,1,1,-,5 years (1990 to 1995),every two days,x,-,-,-,established belt transect,snowmelt ,x,x,-,-,-,x,flowers in bloom were counted,x,,,-,-,number of open flowers,-,"median date of flower production, fruiting, failed or grazed","This lily appears to be poorly synchronized with its pollinators. Across the years of the study, pollination limitation appears to be increasing, perhaps because the synchronization is getting worse.",
35,10.1111/1365-2656.12158,"Benadi G,Hovestadt T,Poethke HJ,Blüthgen N",2014,Carina,Scopus_WOS,Case study ,OK,Germany,National Park Berchtesgaden,not reported,not reported,Northern,grassland,"Bees (Hymenoptera: Apidae), flies (Diptera: Brachycera), and butterflies and moths (Lepidoptera)",166,not reported,not reported,1 year (2010),once per week,x,-,-,-,established belt transect,temperature,x,-,x,-,-,x,flowers in bloom were counted,-,,,-,-,number of flowers,-,all open flowers of insect-pollinated species,our results suggest that most pollinator species included in this study are not threatened by phenological decoupling from specific flowering plants.,
36,10.1111/1365-2656.12694,"Schenk M,Krauss J,Holzschuh A",2018,Carina,Scopus,Case study ,OK,Germany,University of Würzburg,not reported,not reported,Northern,grassland,solitary bees (Hymenoptera: Apiformes: Megachilidae).,15,4,50-70 per cage,spring and summer of 2014,every second day for 3 min per cage,x,x,-,-,mesocosms,temperature,-,-,-,-,"experiment with mesocosms, blooming plants placed in experimental enclosures, flowers not quantified",-,-,-,,,-,-,-,-,-,"A mismatch of 6 days caused severe fitness losses in all three bee species, as few bees survived without flowers.",
37,10.1111/1365-2745.12362,"Wadgymar SM,Austen EJ,Cumming MN,Weis AE",2015,Carina,WOS,Case study ,OK,Canada,"University of Toronto’s field station, the Koffler Scientific Reserve at Joker’s Hill ",44.0300°N,79.5275°W,Northern,prarie,not specified,1,1,189,2 years,every day until a killing frost occurred,x,-,-,-,garden experiment,"temperature, precipitation, and humidity",x,x,-,-,"experiment, excluded precipitation and pollinators",x,x,-,,,-,-,number of flowers,-,total number of flowers and flowering duration were,more about synchrony among the plant species,
38,10.1111/btp.12644,"Peel JR,Golubov J,Mandujano MC,López-Portillo J",2019,Carina,WOS,Case study ,OK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,more about synchrony among the plant species,
39,10.1111/ecog.06050,"Fisogni A,de Manincor N,Bertelsen CD,Rafferty NE",2022,Carina,Scopus_WOS,Case study ,OK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,more about synchrony among the plant species,
40,10.1111/ele.12170,"Bartomeus I,Park MG,Gibbs J,Danforth BN,Lakso AN,Winfree R",2013,Carina,Scopus_WOS,Case study ,OK,United States,New York,not informed,not informed,Northern,agricultural ,bees,1,1,not informed,"three years (spring 2009, 2010 and 2011) + historical data (1965–2011, with data missing only from 2007)",at least once during the apple bloom on days with temperature > 16 °C,-,-,x,-,orchards,temperature,x,x,-,-,-,-,-,-,,,-,-,x,-,"date of mid-bloom, defined as trees having 80–100% of the central blossoms in the flower clusters open","extensive synchrony between bee activity and apple peak bloom due to complementarity among bee species’ activity periods, and also a stable trend over time due to differential responses to warming climate among bee species.",
41,10.1111/ele.13609,"Bogdziewicz M,Pesendorfer M,Crone EE,Pérez-Izquierdo C,Bonal R",2020,Carina,WOS,Case study ,OK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
42,10.1111/gcb.12246,"Iler AM,Inouye DW,Høye TT,Miller-Rushing AJ,Burkle LA,Johnston EB",2013,Carina,Scopus_WOS,Case study ,OK,United States,Rocky Mountain Biological Laboratory (RMBL),38°57.5′N,106°59.3′W,Northern,"mesic and wet meadows, dry rocky meadows, and mixed conifer forests",syrphid fly (Syrphidae),9,7,not provided,20 years (1992 - 2011),every other day throughout the growing season,x,-,-,-,26 2 X 2 m plots,"temperature, precipitation, snowmelt",onset and end of flowering and syrphid activity and the number of days that the syrphid community overlaps with the flowering community.,X,-,-,-,X,X,-,,,-,-,either the number of flowers per stalk or num- ber of flowering stalks,-,onset and end of flowering,our results also indicate that some individual plant species may overlap with the syrphid community for fewer days under continued climate change. This,
43,10.1111/gcb.15560,"Bogdziewicz M,Hacket-Pain A,Kelly D,Thomas PA,Lageard J,Tanentzap AJ",2021,Carina,Scopus_WOS,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
44,10.1111/geb.12916,"Park IW,Mazer SJ",2019,Carina,WOS,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
45,10.1111/j.1365-2311.2010.01226.x,"Sparks TH,Langowska A,Glazaczow A,Wilkaniec Z,Bienkowska M,Tryjanowski P",2010,Carina,Scopus,Case study,OK,Poland,Poznan,52.4,16.9,Northern,Not informed,bees (Apis melifera),"no plants, only bees",-,80–130 hives,25 years,date of first observed cleansing flights,-,-,-,-,hives,temeprature,-,-,-,-,date of first observed cleansing flights of honey bees,-,-,-,,,-,-,-,-,-,This earlier activity gives hope that the reported earlier flowering of many native and cultivated species will not cause a pollination synchrony crisis.,
46,10.1111/j.1365-2435.2009.01645.x,"Hülber K,Winkler M,Grabherr G",2010,Carina,Scopus,Case study,OK,Austria,Schwarzenberger-Seespitze glacier,11 06 E,47 03 N,Northern,high alpine,-,10,7,90,2 years (2002 and 2003 growing seasons),10 day intervals,x,-,-,-,enclosed study area with tagged individuals,"temperature, snowmelt, photoperiod",X,X,-,-,-,X,-,X,,,X,-,-,-,different for each species (Table 2),NA,
47,10.1111/j.1461-0248.2011.01601.x,"Munguía-Rosas MA,Ollerton J,Parra-Tabla V,De-Nova JA",2011,Gabriela ,Scopus_WOS,Review,OK,NA,,,,,,,,,,,,,,,,sistematic review,-,x,x,x,-,data sets,,,,,,,,,,,,
48,10.1111/j.1472-4642.2011.00877.x,"Kuhlmann M,Guo D,Veldtman R,Donaldson J",2012,Gabriela ,Scopus,Case study,OK,South Africa,Cape Floristic Region (CFR),Not informed,Not informed,Southern,Not informed,bees,12,Not informed,Not informed,28 years,all apereances of bees in databases,Not monitored,Not monitored,Not monitored,Not monitored,all records of bee appearances and statistical modelling,"CO2 emissions, rainfall seasonality",-,-,-,-,X,Not monitored,Not monitored,Not monitored,Not monitored,Not monitored,X,Not monitored,Not monitored,Not monitored,Not monitored,range shifts in bees distribution,
49,10.1111/j.1600-0706.2010.18644.x,"Ollerton J,Winfree R,Tarrant S",2011,Gabriela ,Scopus,,OK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10.1111/nph.18361,"Xie Y,Thammavong HT,Park DS",2022,Gabriela ,WOS,,OK,United States,midwestern USA,-,-,Northern,forest,bees,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10.1111/oik.01491,"Bolmgren K,Eriksson O",2015,Gabriela ,Scopus,Case study,OK,Sweden,Tullgarn,58°58′N,17°35′E,Northern,wide range of habitats,"Vespula spp., Bombus spp and birds",Frangula alnus,Rhamnaceae,24,2 years (2000-2001),six annual shoot,-,-,X,-,direct observation in sites,-,monitoring pollinators,-,count every flower open,-,-,X,X,X,Not monitored,Not monitored,Not monitored,Not monitored,"flowering, fruits",seed mass per fruit,"open flower, ripe fruit and dispersed fruit","flowering and fruiting comprises several features, each with different and sometimes counteracting effects on fitness components",
52,10.1146/annurev-ecolsys-011921-032939,"Iler AM,Caradonna PJ,Forrest JR,Post E",2021,Gabriela ,WOS,Review,OK,NA,Not informed,Not informed,Not informed,Both,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,sistematic review,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Species flowering at the beginning of seasonal transitions or specialists that are reliant on a single visitor taxon for pollination are probably most susceptible to negative reproductive consequences of altered synchrony with pollinators; early flowering may reduce reproduction even if pollinator visitation rates increase with earlier flowering,
