Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISBN,ISSN,URLs,DOI,PMID,Abstract,Keywords,Chapter,Pages cited
Journal Article,"Campbell LG,Luo J,Mercer KL","Effect of water availability and genetic diversity on flowering phenology, synchrony and reproductive investment in summer squash",Journal of Agricultural Science,2013,151,6,775-786,,,2013,,0021-8596,http://dx.doi.org/10.1017/S0021859612000731,10.1017/S0021859612000731,,"Current agricultural practices rely on crops with developmental phenologies adapted to local climate, photoperiods and soils; however, global climate change will alter some abiotic factors (e.g. temperature and precipitation). Previously adapted varieties may be poorly prepared for these changing conditions, if such conditions induce mismatched phenologies. Crops that depend on cross-pollination and synchronous flowering may be most susceptible, e.g. monoecious plants have separate male and female flowers, and changes in flowering synchrony may alter yield. Using genetically diverse (open-pollinated (OP)) and genetically homogeneous (hybrid) varieties of a monoecious crop, courgette, also known as zuchinni (Cucurbita pepo), phenological responses to experimentally manipulated moisture conditions were explored in an agricultural context. Under drier and wetter conditions, the hybrid courgette plants shifted towards a male-biased floral sex ratio due to the reduced production of female flowers. However, flowering synchrony and fruit production were unaffected by moisture treatment in both varieties. The hybrid and OP varieties differed in many traits related to floral sex ratios, phenology, synchrony and fruit production. Further, the OP variety displayed more phenotypic variation than the hybrid in many traits. Being in a population context rather than relying on self-pollination increased the availability of potential mates for a given female flower in both the hybrid and, particularly, the OP variety. Thus, the increased genetic diversity found in OP v. hybrid varieties may buffer the possible environmental effects on flowering synchrony within a cropping context. Finally, the likelihood of female flowers setting fruit increased with the number of male flowers within a population, and the rate of increase was higher in the hybrid variety. In summary, climate change is predicted to reduce investment in female function in some monoecious crops and genetically diverse varieties may play an important role in maintaining reproductive synchrony in altered environments. \textcopyright Cambridge University Press 2012.",Scopus,,
Journal Article,"Kuhlmann M,Guo D,Veldtman R,Donaldson J",Consequences of warming up a hotspot: Species range shifts within a centre of bee diversity,Diversity and Distributions,2012,18,9,885-897,,,2012,,1366-9516,http://dx.doi.org/10.1111/j.1472-4642.2011.00877.x,10.1111/j.1472-4642.2011.00877.x,,"Aim Bees are the most important pollinators of flowering plants and essential ecological keystone species contributing to the integrity of most terrestrial ecosystems. Here, we examine the potential impact of climate change on bees' geographic range in a global biodiversity hotspot. Location South Africa with a focus on the Cape Floristic Region (CFR) diversity hotspot. Methods Geographic ranges of 12 South African bee species representing dominant distribution types were studied, and the climate change impacts upon bees were examined with A2 and B2 climate scenarios of HadCM3 model, using MaxEnt for species distribution modelling. Results The predicted levels of climate change-induced impacts on species ranges varied from little shifts and range expansion of 5-50% for two species to substantial range contractions between 32% and 99% in another six species. Four species show considerable range shifts. Bees of the winter rainfall area in the west of South Africa generally have smaller range sizes than in the summer rainfall area and generally show eastward range contractions toward the dry interior. Bee species prevalent in summer rainfall regions show a tendency for a south-easterly shift in geographic range. Main conclusions The bee fauna of the CFR is identified as the most vulnerable to climate change due to the high level of endemism, the small range sizes and the island-like isolation of the Mediterranean-type climate region at the SW tip of Africa. For monitoring climate change impact on bees, we suggest to establish observatories in the coastal plains of the west coast that are predicted to be worst affected and areas where persistence of populations is most likely. Likely impacts of climate change on life history traits of bees (phenology, sociality, bee-host plant synchronization) are discussed but require further investigation. \textcopyright 2012 Blackwell Publishing Ltd.","Bees,Climate sensitivity,Future climate scenario,Geographic range shift,Pollination,Scopus,South Africa",,
Book,"Singh HC,Shivashankara KS,Rao NK",Climate-resilient horticulture: Adaptation and mitigation strategies,,2013,,,,,,2013,9.78813E+12,,http://dx.doi.org/10.1007/978-81-322-0974-4,10.1007/978-81-322-0974-4,,"Climate change, a global phenomenon, has attracted scientists to contribute in anticipatory research to mitigate adverse impacts, which are more important for horticulture, considering that the scenario is in the midst of revolution, reaching the production level of 250 million tonnes in India. Impacts of climate variability have, invariably, profound influence on production and quality. An understanding of the impacts and relevant adaptation strategies are of foremost importance to sustain the productivity and profitability of horticulture crops in the climate change scenario, which necessitates synthesis of current knowledge to develop strategies for adaptation and mitigation to achieve climate-resilient horticulture. The book Climate-resilient horticulture: adaptation and mitigation strategies addresses the effects of climate change on different horticultural crops and focuses on the adaptation strategies based on the scientific knowledge generated by the experts in different agro-climatic regions in India. Issues have been covered in various chapters to make this book a treasure of knowledge in horticulture vis-a-vis climate change. Some of the crops included in the book are apple, grapes, cashew, banana, litchi, mango, coconut, oil palm, potato, tomato, cucurbits and flowers. In addition to strategies to be adapted in these crops, various other important aspects like carbon sequestration, pests and diseases, and urban landscaping are also covered in the book. Information on climatic risks and adaptation options for resilience in horticultural crops and future strategies and information on pest and disease dynamics on horticultural crops in relation to climate change and available mitigation strategies have also been documented. The book is edited by Dr H P Singh, a visionary leader, and his colleagues, which will be highly valuable to research workers, students, policy planners and farmers to understand and checkmate the adverse effect of climate change, so as to convert weakness into opportunity.",Scopus,,1-302
Journal Article,"Fisogni A,de Manincor N,Bertelsen CD,Rafferty NE",Long-term changes in flowering synchrony reflect climatic changes across an elevational gradient,Ecography,2022,2022,2,14-Jan,,,2022,,1600-0587,http://dx.doi.org/10.1111/ecog.06050,10.1111/ecog.06050,,"Synchrony defines an organism's overlap with potential resources and mates, essential for survival and reproduction. Flowering synchrony influences gene flow within species and patterns of interaction among plants and with other trophic levels, including pollinators. Climate-change driven shifts in plant phenology may disrupt plant–plant and plant–pollinator interactions, resulting in reshuffling of communities and altered ecosystem processes. We present a unique long-term metacommunity-wide study relating changes in flowering synchrony within and among species along an elevational gradient to changes in local climatic conditions. We apply a circular statistical method that estimates flowering phenology overlap between entire flowering distributions, overcoming limitations and biases of single indicators such as first and last flowering dates. We analyzed more than 300 000 flowering overlap estimates between 217 species in five plant communities across a 1267 m gradient over four decades (1984–2019) in the southwestern USA. We show that co-flowering synchrony significantly decreased in all plant communities, with a maximum of 28.1% of synchrony lost at the lowest elevations. Decreased synchrony was significantly negatively correlated with increasing temperatures recorded across the gradient. Reduced precipitation had locally-dependent effects and, in combination with warmer temperatures, accelerated the decrease in synchrony, especially at the lowest elevations. Flowering synchrony within plant species occurring in multiple communities increased between most community pairs, with a maximum increase of 30.5%, and at accelerated rates in recent years. The exception, likely associated with differences in topography, was a 5.6% decrease in synchrony between the two highest-elevation communities. Overall, increased synchrony within species occurring at multiple elevations indicates homogenization of flowering phenology across the gradient. These results show significant reshaping of flowering synchrony within and between plant communities in response to changing climate. Because plant phenology influences many ecological processes, such fundamental changes may have far-reaching and negative effects on ecosystem stability.","2022 the authors,Scopus,climate change,ecography published by john,ecosystems,flowering phenology,metacommunity,mountain,of nordic society,pollination,sons ltd on behalf,wiley",,
Journal Article,"Bloom TD,O'Leary DS,Riginos C",Flowering time advances since the 1970s in a sagebrush steppe community: Implications for management and restoration,Ecological Applications,2022,32,6,17-Jan,,,2022,,1939-5582,http://dx.doi.org/10.1002/eap.2583;https://www.ncbi.nlm.nih.gov/pubmed/35333428,10.1002/eap.2583,35333428,"Climate change is widely known to affect plant phenology, but little is known about how these impacts manifest in the widespread sagebrush ecosystem of the Western United States, which supports a number of wildlife species of concern. Shifts in plant phenology can trigger consequences for the plants themselves as well as the communities of consumers that depend upon them. We assembled historical observations of first-flowering dates for 51 species collected in the 1970s and 1980s in a montane sagebrush community in the Greater Yellowstone Ecosystem and compared these to contemporary phenological observations targeting the same species and locations (2016–2019). We also assembled regional climate data (average spring temperature, day of spring snowmelt, and growing degree days) and tested the relationship between first-flowering time and these variables for each species. We observed the largest change in phenology in early-spring flowers, which, as a group, bloomed on average 17 days earlier, and as much as 36 days earlier, in the contemporary data set. Mid-summer flowers bloomed on average 10 days earlier, nonnative species 15 days earlier, and berry-producing shrubs 5 days earlier, while late summer flowering plants did not shift. The greatest correlates of early-spring and mid-summer flowering were average spring temperature and day of snowmelt, which was 21 days earlier, on average, in 2016–2019 relative to the 1973–1978 observations. The shifts in flowering phenology that we observed could indicate developing asynchronies or novel synchronies of these plant resources and wildlife species of conservation concern, including Greater Sage-grouse, whose nesting success is tied to availability of spring forbs; grizzly bears, which rely heavily on berries for their fall diet; and pollinators. This underscores the importance of maintaining a diverse portfolio of native plants in terms of species composition, genetics, phenological responsiveness to climatic cues, and ecological importance to key wildlife and pollinator species. Redundancy within ecological niches may also be important considering that species roles in the community may shift as climate change affects them differently. These considerations are particularly relevant to restoration and habitat-enhancement projects in sagebrush communities across western North America.","Grand Teton National Park,Greater Sage-grouse,Greater Yellowstone Ecosystem,Scopus,climate change,community ecology,flowering time,phenological mismatch,phenology,restoration,snowmelt timing,spring temperature",,
Journal Article,"Sparks TH,Langowska A,Głazaczow A,Wilkaniec Z,Bieńkowska M,Tryjanowski P",Advances in the timing of spring cleaning by the honeybee Apis mellifera in Poland,Ecological Entomology,2010,35,6,788-791,,,2010,,0307-6946,http://dx.doi.org/10.1111/j.1365-2311.2010.01226.x,10.1111/j.1365-2311.2010.01226.x,,"The honeybee Apis mellifera is of huge worldwide economic importance in the pollination of crops for human consumption. In recent years, honeybee populations have declined under pressure from diseases and pests. Climate change is increasingly being viewed as an additional threat to honeybees and yet only limited research has been carried out in this area.This paper reports the advance of the first cleansing flight ('spring cleaning') of the honeybee in Poznań, Poland, i.e. flights to excrete faeces, over a month in the period 1985-2009. The timing of this flight is advanced not only by higher late winter/spring temperatures but also by higher temperatures in the previous summer and autumn.This earlier activity gives hope that the reported earlier flowering of many native and cultivated species will not cause a pollination synchrony crisis. \textcopyright 2010 The Authors. Ecological Entomology \textcopyright 2010 The Royal Entomological Society.","Cleansing,Honeybee,Phenology,Poland,Pollinators,Scopus",,
Journal Article,"Forrest JR,James DT",An examination of synchrony between insect emergence and flowering in Rocky Mountain meadows,Ecological Monographs,2011,81,3,469-491,,,2011,,0012-9615,http://dx.doi.org/10.1890/10-1885.1,10.1890/10-1885.1,,"One possible effect of climate change is the generation of a mismatch in the seasonal timing of interacting organisms, owing to species-specific shifts in phenology. Despite concerns that plants and pollinators might be at risk of such decoupling, there have been few attempts to test this hypothesis using detailed phenological data on insect emergence and flowering at the same localities. In particular, there are few data sets on pollinator flight seasons that are independent of flowering phenology, because pollinators are typically collected at flowers. To address this problem, we established standardized nesting habitat (trap nests) for solitary bees and wasps at sites along an elevational gradient in the Rocky Mountains, and monitored emergence during three growing seasons. We also recorded air temperatures and flowering phenology at each site. Using a reciprocal transplant experiment with nesting bees, we confirmed that local environmental conditions are the primary determinants of emergence phenology. We were then able to develop phenology models to describe timing of pollinator emergence or flowering, across all sites and years, as a function of accumulated degree-days. Although phenology of both plants and insects is well described by thermal models, the best models for insects suggest generally higher threshold temperatures for development or diapause termination than those required for plants. In addition, degreeday requirements for most species, both plants and insects, were lower in locations with longer winters, indicating either a chilling or vernalization requirement that is more completely fulfilled at colder sites, or a critical photoperiod before which degree-day accumulation does not contribute to development. Overall, these results suggest that phenology of plants and trap-nesting bees and wasps is regulated in similar ways by temperature, but that plants are more likely than insects to advance phenology in response to springtime warming. We discuss the implications of these results for plants and pollinators, and suggest that phenological decoupling alone is unlikely to threaten population persistence for most species in our study area. \textcopyright 2011 by the Ecological Society of America.","Climate change,Elevational gradient,Hymenoptera,Phenology,Pollination,Reciprocal transplant experiment,Rocky Mountain Biological Laboratory,Scopus,Solitary bees,Trap nests,Trophic mismatch",,
Journal Article,"Mckinney AM,Caradonna PJ,Inouye DW,Barr B,Bertelsen CD,Waser NM",Asynchronous changes in phenology of migrating Broad-tailed Hummingbirds and their early-season nectar resources,Ecology,2012,93,9,1987-1993,,,2012,,,,,,"Phenological advancements driven by climate change are especially pronounced at higher latitudes, so that migrants from lower latitudes may increasingly arrive at breeding grounds after the appearance of seasonal resources. To explore this possibility, we compared dates of first arrival of Broad-tailed Hummingbirds (Selasphorus platycercus) to dates of flowering of plants they visit for nectar. Near the southern limit of the breeding range, neither hummingbird arrival nor first flowering dates have changed significantly over the past few decades. At a nearby migration stopover site, first flowering of a major food plant has advanced, but peak flowering has not. Near the northern limit of the breeding range, first and peak flowering of early-season food plants have shifted to earlier dates, resulting in a shorter interval between appearance of first hummingbirds and first flowers. If phenological shifts continue at current rates, hummingbirds will eventually arrive at northern breeding grounds after flowering begins, which could reduce their nesting success. These results support the prediction that migratory species may experience the greatest phenological mismatches at the poleward limits of their migration. A novel hypothesis based on these results posits that the poleward limit for some species may contract toward lower latitudes under continued warming.","Scopus,broad-tailed hummingbird,climate change,colorado,ecological interactions,flowering time,laboratory,latitude,migration,phenological shifts,pollination,reproductive success,rocky mountain biological,selasphorus platycercus,synchrony,usa",,
Journal Article,"Koenig WD,Knops JM,Carmen WJ,Pearse IS",What drives masting? The phenological synchrony hypothesis,Ecology,2015,96,1,184-192,,,2015,,0012-9658,http://dx.doi.org/10.1890/14-0819.1;https://www.ncbi.nlm.nih.gov/pubmed/26236903,10.1890/14-0819.1,26236903,"Annually variable and synchronous seed production, or masting behavior, is a widespread phenomenon with dramatic effects on wildlife populations and their associated communities. Proximally, masting is often correlated with environmental factors and most likely involves differential pollination success and resource allocation, but little is known about how these factors interact or how they influence seed production. We studied masting in the valley oak (Quercus lobata Née), a California endemic tree, and report evidence that phenological synchrony in flowering driven by microclimatic variability determines the size of the acorn crop through its effects on pollen availability and fertilization success. These findings integrate two of the major factors believed to influence seed production in wind-pollinated species-environmental conditions and pollen limitation-by means of a coherent mechanistic hypothesis for how highly variable and synchronized annual seed production is accomplished. We illustrate how, by means of a simulation based on the mechanism proposed here, climate change may influence masting patterns through its effects on environmental variability.","Hastings Natural History Reservation, coastal California, USA,Mast fruiting,Masting,Phenological synchrony,Phenology,Pollen limitation,Quercus lobata,Scopus,Valley oak",,
Journal Article,"Theobald EJ,Breckheimer I,HilleRisLambers J",Climate drives phenological reassembly of a mountain wildflower meadow community,Ecology,2017,98,11,2799-2812,,,2017,,0012-9658,http://dx.doi.org/10.1002/ecy.1996;https://www.ncbi.nlm.nih.gov/pubmed/29023677,10.1002/ecy.1996,29023677,"Spatial community reassembly driven by changes in species abundances or habitat occupancy is a well-documented response to anthropogenic global change, but communities can also reassemble temporally if the environment drives differential shifts in the timing of life events across community members. Much like spatial community reassembly, temporal reassembly could be particularly important when critical species interactions are temporally concentrated (e.g., plant-pollinator dynamics during flowering). Previous studies have documented species-specific shifts in phenology driven by climate change, implying that temporal reassembly, a process we term “phenological reassembly,” is likely. However, few studies have documented changes in the temporal co-occurrence of community members driven by environmental change, likely because few datasets of entire communities exist. We addressed this gap by quantifying the relationship between flowering phenology and climate for 48 co-occurring subalpine wildflower species at Mount Rainier (Washington, USA) in a large network of plots distributed across Mt. Rainier's steep environmental gradients; large spatio-temporal variability in climate over the 6 yr of our study (including the earliest and latest snowmelt year on record) provided robust estimates of climate-phenology relationships for individual species. We used these relationships to examine changes to community co-flowering composition driven by ‘climate change analog' conditions experienced at our sites in 2015. We found that both the timing and duration of flowering of focal species was strongly sensitive to multiple climatic factors (snowmelt, temperature, and soil moisture). Some consistent responses emerged, including earlier snowmelt and warmer growing seasons driving flowering phenology earlier for all focal species. However, variation among species in their phenological sensitivities to these climate drivers was large enough that phenological reassembly occurred in the climate change analog conditions of 2015. An unexpected driver of phenological reassembly was fine-scale variation in the direction and magnitude of climatic change, causing phenological reassembly to be most apparent early and late in the season and in topographic locations where snow duration was shortest (i.e., at low elevations and on ridges in the landscape). Because phenological reassembly may have implications for many types of ecological interactions, failing to monitor community-level repercussions of species-specific phenological shifts could underestimate climate change impacts.","Scopus,climate change,community shifts,disassembly,elevation gradient,global change,mutualisms,phenological synchrony",,
Journal Article,"Maglianesi MA,Hanson P,Brenes E,Benadi G,Schleuning M,Dalsgaard B",High levels of phenological asynchrony between specialized pollinators and plants with short flowering phases,Ecology,2020,101,11,10-Jan,,,2020,,1939-9170,http://dx.doi.org/10.1002/ecy.3162;https://www.ncbi.nlm.nih.gov/pubmed/33460104,10.1002/ecy.3162,33460104,"Species phenology plays a key role in determining mutualistic interactions, such as those between plants and pollinators. Notably, temporal synchrony shapes the patterns of interactions by influencing the probability of encounters between interacting partners; thus, species phenology greatly contributes to structuring ecological communities. In these communities, specialized species are expected to show a high level of synchrony with their partners; however, the relationship between species phenology and specialization remains largely unexplored. In three localities in the tropical mountains of Costa Rica, we quantified the level of phenological synchrony in plant–pollinator networks and tested whether phenological synchrony is associated with the degree of pollinator specialization on plant partners. We also tested the relationship between pollinator specialization and the length of the flowering phase of the visited plants. Across all three studied networks, our results show a strong asynchrony between interacting plant and pollinator species. We also found that more specialized pollinators were more asynchronous with their plant partners and, moreover, that specialized pollinators preferably visited plant species with shorter flowering phases compared to generalized pollinators. These patterns suggest that specialized pollinators may be more vulnerable to mutualistic disruptions because they depend primarily on short-lived resources and have a high risk of phenological mismatch. This discovery has important consequences for specialized species' potential to survive and adapt to changes in the phenology of their interacting partners, which is highly relevant in a time characterized by changing climates and associated shifts in species phenology.","Scopus,mutualistic interactions,phenological synchrony,pollination,pollinator vulnerability,specialization,temporal asynchrony",,
Journal Article,"Villagomez GN,Nürnberger F,Requier F,Schiele S,Steffan-Dewenter I",Effects of temperature and photoperiod on the seasonal timing of Western honey bee colonies and an early spring flowering plant,Ecology and Evolution,2021,11,12,7834-7849,,,2021,,2045-7758,http://dx.doi.org/10.1002/ece3.7616;https://www.ncbi.nlm.nih.gov/pubmed/34188855,10.1002/ece3.7616,34188855,"Temperature and photoperiod are important Zeitgebers for plants and pollinators to synchronize growth and reproduction with suitable environmental conditions and their mutualistic interaction partners. Global warming can disturb this temporal synchronization since interacting species may respond differently to new combinations of photoperiod and temperature under future climates, but experimental studies on the potential phenological responses of plants and pollinators are lacking. We simulated current and future combinations of temperature and photoperiod to assess effects on the overwintering and spring phenology of an early flowering plant species (Crocus sieberi) and the Western honey bee (Apis mellifera). We could show that increased mean temperatures in winter and early spring advanced the flowering phenology of C. sieberi and intensified brood rearing activity of A. mellifera but did not advance their brood rearing activity. Flowering phenology of C. sieberi also relied on photoperiod, while brood rearing activity of A. mellifera did not. The results confirm that increases in temperature can induce changes in phenological responses and suggest that photoperiod can also play a critical role in these responses, with currently unknown consequences for real-world ecosystems in a warming climate.","Apis mellifera,Crocus sieberi,Scopus,climate change,phenology,plant–pollinator interaction,temporal mismatch",,
Journal Article,"Munguía-Rosas MA,Ollerton J,Parra-Tabla V,De-Nova JA",Meta-analysis of phenotypic selection on flowering phenology suggests that early flowering plants are favoured,Ecology Letters,2011,14,5,511-521,,,2011,,1461-0248,http://dx.doi.org/10.1111/j.1461-0248.2011.01601.x,10.1111/j.1461-0248.2011.01601.x,,"Flowering times of plants are important life-history components and it has previously been hypothesized that flowering phenologies may be currently subject to natural selection or be selectively neutral. In this study we reviewed the evidence for phenotypic selection acting on flowering phenology using ordinary and phylogenetic meta-analysis. Phenotypic selection exists when a phenotypic trait co-varies with fitness; therefore, we looked for studies reporting an association between two components of flowering phenology (flowering time or flowering synchrony) with fitness. Data sets comprising 87 and 18 plant species were then used to assess the incidence and strength of phenotypic selection on flowering time and flowering synchrony, respectively. The influence of dependence on pollinators, the duration of the reproductive event, latitude and plant longevity as moderators of selection were also explored. Our results suggest that selection favours early flowering plants, but the strength of selection is influenced by latitude, with selection being stronger in temperate environments. However, there is no consistent pattern of selection on flowering synchrony. Our study demonstrates that phenotypic selection on flowering time is consistent and relatively strong, in contrast to previous hypotheses of selective neutrality, and has implications for the evolution of temperate floras under global climate change. \textcopyright 2011 Blackwell Publishing Ltd/CNRS.","Flowering phenology,Flowering synchrony,Flowering time,Mutualisms,Natural selection,Phenotypic selection,Scopus",,
Journal Article,"Bartomeus I,Park MG,Gibbs J,Danforth BN,Lakso AN,Winfree R",Biodiversity ensures plant-pollinator phenological synchrony against climate change,Ecology Letters,2013,16,11,1331-1338,,,2013,,1461-0248,http://dx.doi.org/10.1111/ele.12170;https://www.ncbi.nlm.nih.gov/pubmed/23968538,10.1111/ele.12170,23968538,"Climate change has the potential to alter the phenological synchrony between interacting mutualists, such as plants and their pollinators. However, high levels of biodiversity might buffer the negative effects of species-specific phenological shifts and maintain synchrony at the community level, as predicted by the biodiversity insurance hypothesis. Here, we explore how biodiversity might enhance and stabilise phenological synchrony between a valuable crop, apple and its native pollinators. We combine 46 years of data on apple flowering phenology with historical records of bee pollinators over the same period. When the key apple pollinators are considered altogether, we found extensive synchrony between bee activity and apple peak bloom due to complementarity among bee species' activity periods, and also a stable trend over time due to differential responses to warming climate among bee species. A simulation model confirms that high biodiversity levels can ensure plant-pollinator phenological synchrony and thus pollination function. \textcopyright 2013 John Wiley & Sons Ltd/CNRS.","Bees,Crop pollination,Ecosystem function,Ecosystem services,Phenology,Pollination,Response diversity,Scopus,Stabilising mechanism",,
Journal Article,"Pyke GH,Thomson JD,Inouye DW,Miller TJ",Effects of climate change on phenologies and distributions of bumble bees and the plants they visit,Ecosphere,2016,7,3,19-Jan,,,2016,,2150-8925,http://dx.doi.org/10.1002/ecs2.1267,10.1002/ecs2.1267,,"Surveys of bumble bees and the plants they visit, carried out in 1974 near the Rocky Mountain Biological Laboratory in Colorado, were repeated in 2007, thus permiting the testing of hypotheses arising from observed climate change over the intervening 33-yr period. As expected, given an increase in average air temperature with climate warming and a declining temperature with increasing elevation, there have been significant shifts toward higher elevation for queens or workers or both, for most bumble bee species, for bumble bee queens when species are combined, and for two focal plant species, with no significant downward shifts. However, contrary to our hypotheses, we failed to observe significant altitudinal changes for some bumble bee species and most plant species, and observed changes in elevation were often less than the upward shift of 317 m required to maintain average temperature. As expected, community flowering phenology shifted toward earlier in the season throughout our study area, but bumble bee phenology generally did not change, resulting in decreased synchrony between bees and plants. However, we were unable to confirm the narrower expectation that phenologies of bumble bee workers and community flowering coincided in 1974 but not in 2007. As expected, because of reduced synchrony between bumble bees and community flowering, bumble bee abundance was reduced in 2007 compared with 1974. Hence, climate change in our study area has apparently resulted primarily in reduced abundance and upward shift in distribution for bumble bees and shift toward earlier seasonality for plant flowering. Quantitative disagreements between climate change expectations and our observations warrant further investigation.","Altitudinal transect,Asynchrony,Bombus,Bumble bee,Community ecology,Elevation,Flowering,Pollination,Reproduction,Rocky Mountain Biological Laboratory,Scopus",,
Journal Article,"Pelayo RC,Llambí LD,Gámez LE,Barrios YC,Ramirez LA,Torres JE,Cuesta F",Plant Phenology Dynamics and Pollination Networks in Summits of the High Tropical Andes: A Baseline for Monitoring Climate Change Impacts,Frontiers in Ecology and Evolution,2021,9,,,,,2021,,,http://dx.doi.org/10.3389/fevo.2021.679045,10.3389/fevo.2021.679045,,"Analyzing plant phenology and plant–animal interaction networks can provide sensitive mechanistic indicators to understand the response of alpine plant communities to climate change. However, monitoring data to analyze these processes is scarce in alpine ecosystems, particularly in the highland tropics. The Andean páramos constitute the coldest biodiversity hotspot on Earth, and their species and ecosystems are among the most exposed and vulnerable to the effects of climate change. Here, we analyze for the first time baseline data for monitoring plant phenological dynamics and plant–pollinator networks along an elevation gradient between 4,200 and 4,600 m asl in three mountain summits of the Venezuelan Andes, which are part of the GLORIA monitoring network. We estimated the presence and density of plants with flowers in all the summits and in permanent plots, every month for 1 year. Additionally, we identified pollinators. We calculated a phenological overlap index between species. We summarized the plant–pollinator interactions as a bipartite matrix and represented a quantitative plant–pollinator network, calculating structural properties (grade, connectance, nestedness, and specialization). We also evaluated whether the overall network structure was influenced by differences in sampling effort, changes in species composition between summits, and phenology of the plant species. Finally, we characterized the pollination syndrome of all species. Flowering showed a marked seasonality, with a peak toward the end of the wet season. The overall phenological overlap index was low (0.32), suggesting little synchrony in flowering among species. Species richness of both plants and pollinators decreased along the elevation gradient. Flies, bumblebees, and hummingbirds were the most frequent pollinators in the network, while entomophily and anemophily were the prevailing pollination syndromes. The interaction network in all summits showed high connectance values, significant specialization (H2), and low nestedness. We did not find a significant effect of sampling effort, summit plant species composition, or plant phenology on network structure. Our results indicate that these high tropical alpine plant communities and their plant-pollination networks could be particularly vulnerable to the loss of species in climate change scenarios, given their low species richness and functional redundancy coupled with a high degree of specialization and endemism.",Scopus,,
Journal Article,"Hülber K,Winkler M,Grabherr G",Intraseasonal climate and habitat-specific variability controls the flowering phenology of high alpine plant species,Functional Ecology,2010,24,2,245-252,,,2010,,0269-8463,http://dx.doi.org/10.1111/j.1365-2435.2009.01645.x,10.1111/j.1365-2435.2009.01645.x,,"High alpine plants endure a cold climate with short growing seasons entailing severe consequences of an improper timing of development. Hence, their flowering phenology is expected to be rigorously controlled by climatic factors. We studied ten alpine plant species from habitats with early and late melting snow cover for 2 years and compared the synchronizing effect of temperature sums (TS), time of snowmelt (SM) and photoperiod (PH) on their flowering phenology. Intraseasonal and habitat-specific variation in the impact of these factors was analysed by comparing predictions of time-to-event models using linear mixed-effects models. Temperature was the overwhelming trigger of flowering phenology for all species. Its synchronizing effect was strongest at or shortly after flowering indicating the particular importance of phenological control of pollination. To some extent, this pattern masks the common trend of decreasing phenological responses to climatic changes from the beginning to the end of the growing season for lowland species. No carry-over effects were detected. As expected, the impact of photoperiod was weaker for snowbed species than for species inhabiting sites with early melting snow cover, while for temperature the reverse pattern was observed. Our findings provide strong evidence that alpine plants will respond quickly and directly to increasing temperature without considerable compensation due to photoperiodic control of phenology. \textcopyright 2009 The Authors. Journal compilation \textcopyright 2009 British Ecological Society.","Central European Alps,Climate warming,Scopus,Snow cover duration,Temperature sum",,
Book Chapter,Gallery RE,Ecology of Tropical Rain Forests,,2014,,,1-659,,Ecology and the Environment,2014,9.78146E+12,,http://dx.doi.org/10.1007/978-1-4614-7501-9,10.1007/978-1-4614-7501-9,,"In this book, plant biology is considered from the perspective of plants and their surrounding environment, including both biotic and abiotic interactions. The intended audience is undergraduate students in the middle or final phases of their programs of study. Topics are developed to provide a rudimentary understanding of how plant-environment interactions span multiple spatiotemporal scales, and how this rudimentary knowledge can be applied to understand the causes of ecosystem vulnerabilities in the face of global climate change and expansion of natural resource use by human societies. In all chapters connections are made from smaller to larger scales of ecological organization, providing a foundation for understanding plant ecology. Where relevant, environmental threats to ecological systems are identified and future research needs are discussed. As future generations take on the responsibility for managing ecosystem goods and services, one of the most effective resources that can be passed on is accumulated knowledge of how organisms, populations, species, communities and ecosystems function and interact across scales of organization. This book is intended to provide some of that knowledge, and hopefully provide those generations with the ability to avoid some of the catastrophic environmental mistakes that prior generations have made.",Scopus,9,
